NAME_ELSEWHERE	NEW	KDomesticateCenter	KDomesticateCenter::UnInit
NAME_ELSEWHERE	DRIFT	KDoodadReviveManager	KDoodadReviveManager::CleanUp
NAME_ELSEWHERE	DRIFT	KExterior	KExterior::LuaGetExteriorIndex
NAME_ELSEWHERE	DRIFT	KExterior	KExterior::LuaGetExteriorInfo
NAME_ELSEWHERE	DRIFT	KExterior	KExterior::LuaGetExteriorShopPrice
NAME_ELSEWHERE	DRIFT	KExterior	KExterior::LuaGetExteriorSuitInfo
NAME_ELSEWHERE	DRIFT	KExterior	KExterior::LuaGetSuitAchievementID
NAME_ELSEWHERE	DRIFT	KExteriorBox	KExteriorBox::Find
NAME_ELSEWHERE	NEW	KFellowPetBox	KFellowPetBox::Activate
NAME_ELSEWHERE	NEW	KFellowPetBox	KFellowPetBox::Init
NAME_ELSEWHERE	NEW	KFellowPetBox	KFellowPetBox::Load
NAME_ELSEWHERE	NEW	KFellowPetBox	KFellowPetBox::Remove
NAME_ELSEWHERE	NEW	KFellowPetBox	KFellowPetBox::Save
NAME_ELSEWHERE	NEW	KFellowPetBox	KFellowPetBox::UnInit
NAME_ELSEWHERE	NEW	KFellowPetMgr	KFellowPetMgr::GetInfo
NAME_ELSEWHERE	NEW	KFellowPetMgr	KFellowPetMgr::Init
NAME_ELSEWHERE	NEW	KFellowPetMgr	KFellowPetMgr::UnInit
NAME_ELSEWHERE	NEW	KGJumpList	KGJumpList::Init
NAME_ELSEWHERE	NEW	KGJumpList	KGJumpList::UnInit
NAME_ELSEWHERE	NEW	KGMoveProcessor	KGMoveProcessor::Init
NAME_ELSEWHERE	NEW	KGMoveProcessor	KGMoveProcessor::ThreadFunction
NAME_ELSEWHERE	NEW	KGMoveProcessor	KGMoveProcessor::UnInit
NAME_ELSEWHERE	NEW	KGMoveProcessor	KGMoveProcessor::WorkThreadFunction
NAME_ELSEWHERE	NEW	KGWServerConstList	KGWServerConstList::Init
NAME_ELSEWHERE	NEW	KGWServerConstList	KGWServerConstList::LoadData
NAME_ELSEWHERE	NEW	KGWServerConstList	KGWServerConstList::UnInit
NAME_ELSEWHERE	DRIFT	KG_SocketServerAcceptor	KG_SocketServerAcceptor::WorkThreadFunction
NAME_ELSEWHERE	NEW	KHairBox	KHairBox::Add
NAME_ELSEWHERE	NEW	KHairBox	KHairBox::Find
NAME_ELSEWHERE	NEW	KHairBox	KHairBox::Init
NAME_ELSEWHERE	NEW	KHairBox	KHairBox::Load
NAME_ELSEWHERE	NEW	KHairBox	KHairBox::Save
NAME_ELSEWHERE	NEW	KHairBox	KHairBox::UnInit
NAME_ELSEWHERE	NEW	KHairBox	KHairBox::_Add
NAME_ELSEWHERE	NEW	KHairShop	KHairShop::Init
NAME_ELSEWHERE	NEW	KHairShop	KHairShop::UnInit
NAME_ELSEWHERE	NEW	KManualDropList	KManualDropList::Activate
NAME_ELSEWHERE	NEW	KManualDropList	KManualDropList::GetInfo
NAME_ELSEWHERE	NEW	KManualDropList	KManualDropList::Init
NAME_ELSEWHERE	NEW	KManualDropList	KManualDropList::Load
NAME_ELSEWHERE	NEW	KManualDropList	KManualDropList::Save
NAME_ELSEWHERE	NEW	KManualDropList	KManualDropList::UnInit
NAME_ELSEWHERE	NEW	KMiniAvatar	KMiniAvatar::Init
NAME_ELSEWHERE	NEW	KMiniAvatar	KMiniAvatar::Load
NAME_ELSEWHERE	NEW	KMiniAvatar	KMiniAvatar::Save
NAME_ELSEWHERE	NEW	KMiniAvatar	KMiniAvatar::UnInit
